timestamp,gx,gy,gz,ax,ay,az
1530987531.0,-18.0,-316.0,-268.0,-2184.0,-535.0,16674.0
1530997531.0,-45.0,-352.0,-307.0,-2130.0,-597.0,16744.0
1531007531.0,80.0,-404.0,-299.0,-2143.0,-485.0,16671.0
1531017531.0,63.0,-416.0,-259.0,-2065.0,-427.0,16692.0
1531027531.0,-29.0,-385.0,-210.0,-2138.0,-481.0,16675.0
1531037531.0,-9.0,-374.0,-170.0,-2099.0,-566.0,16674.0
1531047531.0,8.0,-295.0,-136.0,-2158.0,-532.0,16637.0
1531057531.0,-48.0,-222.0,-117.0,-2158.0,-576.0,16634.0
1531067531.0,-84.0,-145.0,-97.0,-2137.0,-605.0,16775.0
1531077531.0,-74.0,-122.0,-84.0,-2159.0,-603.0,16708.0
1531087531.0,-39.0,-142.0,-90.0,-2102.0,-581.0,16678.0
1531097531.0,-43.0,-90.0,-99.0,-2060.0,-576.0,16718.0
1531107531.0,-51.0,-49.0,-119.0,-2087.0,-614.0,16687.0
1531117531.0,-4.0,-126.0,-124.0,-2040.0,-649.0,16726.0
1531127531.0,64.0,-155.0,-112.0,-1944.0,-665.0,16755.0
1531137531.0,93.0,-80.0,-89.0,-1886.0,-549.0,16724.0
1531147531.0,68.0,28.0,-50.0,-1993.0,-560.0,16702.0
1531157531.0,10.0,72.0,39.0,-2039.0,-742.0,16875.0
1531167531.0,29.0,24.0,186.0,-2145.0,-749.0,17225.0
1531177531.0,47.0,-243.0,368.0,-2210.0,-680.0,17413.0
1531187531.0,-20.0,-727.0,463.0,-1958.0,-747.0,17365.0
1531197531.0,11.0,-895.0,580.0,-1707.0,-545.0,17109.0
1531207531.0,-150.0,-692.0,866.0,-1843.0,-298.0,17192.0
1531217531.0,-360.0,-806.0,1033.0,-1895.0,-345.0,17355.0
1531227531.0,-617.0,-917.0,1216.0,-1952.0,-428.0,17697.0
1531237531.0,-915.0,-749.0,1409.0,-2129.0,28.0,17840.0
1531247531.0,-723.0,-326.0,1980.0,-2267.0,-136.0,17175.0
1531257531.0,-853.0,-204.0,2203.0,-2950.0,268.0,17356.0
1531267531.0,-1697.0,-516.0,1646.0,-3257.0,433.0,18003.0
1531277531.0,-2453.0,-919.0,1169.0,-3325.0,-283.0,18199.0
1531287531.0,-2282.0,-1242.0,1297.0,-3338.0,-946.0,18336.0
1531297531.0,-1927.0,-1691.0,1386.0,-3094.0,-925.0,18485.0
1531307531.0,-2115.0,-2080.0,971.0,-2930.0,-1076.0,18589.0
1531317531.0,-2274.0,-2470.0,357.0,-2663.0,-1438.0,18356.0
1531327531.0,-2083.0,-2869.0,-31.0,-2279.0,-1534.0,17854.0
1531337531.0,-1875.0,-3236.0,-288.0,-1802.0,-1440.0,17495.0
