timestamp,gx,gy,gz,ax,ay,az
610817531.0,25.0,-54.0,-59.0,-1789.0,-371.0,16808.0
610827531.0,6.0,-60.0,-58.0,-1825.0,-314.0,16718.0
610837531.0,-30.0,-108.0,-57.0,-1643.0,-299.0,16796.0
610847531.0,-62.0,-73.0,-62.0,-1602.0,-418.0,16778.0
610857531.0,-39.0,-44.0,-47.0,-1617.0,-498.0,16746.0
610867531.0,-27.0,-33.0,-51.0,-1593.0,-504.0,16781.0
610877531.0,16.0,24.0,-42.0,-1679.0,-426.0,16765.0
610887531.0,36.0,9.0,-40.0,-1701.0,-387.0,16751.0
610897531.0,23.0,18.0,-47.0,-1748.0,-394.0,16784.0
610907531.0,12.0,18.0,-45.0,-1774.0,-408.0,16810.0
610917531.0,4.0,-3.0,-50.0,-1802.0,-399.0,16797.0
610927531.0,-4.0,-21.0,-44.0,-1773.0,-393.0,16810.0
610937531.0,-1.0,-36.0,-37.0,-1742.0,-434.0,16764.0
610947531.0,-8.0,-43.0,-31.0,-1666.0,-416.0,16718.0
610957531.0,-8.0,-26.0,-28.0,-1666.0,-404.0,16773.0
610967531.0,-9.0,-10.0,-23.0,-1766.0,-418.0,16789.0
610977531.0,7.0,-21.0,-23.0,-1731.0,-496.0,16756.0
610987531.0,44.0,-17.0,-24.0,-1753.0,-496.0,16832.0
610997531.0,67.0,-32.0,-32.0,-1743.0,-414.0,16759.0
611007531.0,66.0,-56.0,-39.0,-1632.0,-334.0,16777.0
611017531.0,45.0,-45.0,-54.0,-1661.0,-315.0,16791.0
611027531.0,13.0,-29.0,-66.0,-1652.0,-360.0,16738.0
611037531.0,-7.0,-19.0,-72.0,-1633.0,-393.0,16751.0
611047531.0,-10.0,17.0,-65.0,-1654.0,-467.0,16779.0
611057531.0,0.0,29.0,-61.0,-1741.0,-463.0,16803.0
611067531.0,24.0,31.0,-46.0,-1731.0,-440.0,16835.0
611077531.0,31.0,33.0,-33.0,-1793.0,-337.0,16790.0
